,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,name,sp_attack,sp_defense,speed,type1,type2,weight_kg,is_legendary
0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,0.45,49,1059860,0.7,45,Bulbasaur,65,65,45,grass,poison,6.9,0
1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,0.45,63,1059860,1.0,60,Ivysaur,80,80,60,grass,poison,13.0,0
2,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,0.45,123,1059860,2.0,80,Venusaur,122,120,80,grass,poison,100.0,0
3,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,0.45,43,1059860,0.6,39,Charmander,60,50,65,fire,none,8.5,0
4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,0.45,58,1059860,1.1,58,Charmeleon,80,65,80,fire,none,19.0,0
5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,0.45,78,1059860,1.7,78,Charizard,159,115,100,fire,flying,90.5,0
6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,0.45,65,1059860,0.5,44,Squirtle,50,64,43,water,none,9.0,0
7,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,0.45,80,1059860,1.0,59,Wartortle,65,80,58,water,none,22.5,0
8,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,0.45,120,1059860,1.6,79,Blastoise,135,115,78,water,none,85.5,0
9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,2.55,35,1000000,0.3,45,Caterpie,20,20,45,bug,none,2.9,0
10,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,1.2,55,1000000,0.7,50,Metapod,25,25,30,bug,none,9.9,0
11,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,0.45,50,1000000,1.1,60,Butterfree,90,80,70,bug,flying,32.0,0
12,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,2.55,30,1000000,0.3,40,Weedle,20,20,50,bug,poison,3.2,0
13,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,1.2,50,1000000,0.6,45,Kakuna,25,25,35,bug,poison,10.0,0
14,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,0.45,40,1000000,1.0,65,Beedrill,15,80,145,bug,poison,29.5,0
15,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,2.55,40,1059860,0.3,40,Pidgey,35,35,56,normal,flying,1.8,0
16,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,1.2,55,1059860,1.1,63,Pidgeotto,50,50,71,normal,flying,30.0,0
17,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,0.45,80,1059860,1.5,83,Pidgeot,135,80,121,normal,flying,39.5,0
18,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,2.55,35,1000000,0.0,30,Rattata,25,35,72,normal,dark,0.0,0
19,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,1.27,70,1000000,0.0,75,Raticate,40,80,77,normal,dark,0.0,0
20,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,2.55,30,1000000,0.3,40,Spearow,31,31,70,normal,flying,2.0,0
21,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,0.9,65,1000000,1.2,65,Fearow,61,61,100,normal,flying,38.0,0
22,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,2.55,44,1000000,2.0,35,Ekans,40,54,55,poison,none,6.9,0
23,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,0.9,69,1000000,3.5,60,Arbok,65,79,80,poison,none,65.0,0
24,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,1.9,40,1000000,0.4,35,Pikachu,50,50,90,electric,none,6.0,0
25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,0.75,50,1000000,0.0,60,Raichu,95,85,110,electric,electric,0.0,0
26,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,2.55,90,1000000,0.0,50,Sandshrew,10,35,40,ground,ice,0.0,0
27,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,0.9,120,1000000,0.0,75,Sandslash,25,65,65,ground,ice,0.0,0
28,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,2.35,52,1059860,0.4,55,Nidoran♀,40,40,41,poison,none,7.0,0
29,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,1.2,67,1059860,0.8,70,Nidorina,55,55,56,poison,none,20.0,0
30,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,0.45,87,1059860,1.3,90,Nidoqueen,75,85,76,poison,ground,60.0,0
31,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,2.35,40,1059860,0.5,46,Nidoran♂,40,40,50,poison,none,9.0,0
32,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,1.2,57,1059860,0.9,61,Nidorino,55,55,65,poison,none,19.5,0
33,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,0.45,77,1059860,1.4,81,Nidoking,85,75,85,poison,ground,62.0,0
34,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,1.5,48,800000,0.6,70,Clefairy,60,65,35,fairy,none,7.5,0
35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,0.25,73,800000,1.3,95,Clefable,95,90,60,fairy,none,40.0,0
36,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,1.9,40,1000000,0.0,38,Vulpix,50,65,65,fire,ice,0.0,0
37,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,0.75,75,1000000,0.0,73,Ninetales,81,100,109,fire,ice,0.0,0
38,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,1.7,20,800000,0.5,115,Jigglypuff,45,25,20,normal,fairy,5.5,0
39,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,0.5,45,800000,1.0,140,Wigglytuff,85,50,45,normal,fairy,12.0,0
40,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,2.55,35,1000000,0.8,40,Zubat,30,40,55,poison,flying,7.5,0
41,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,0.9,70,1000000,1.6,75,Golbat,65,75,90,poison,flying,55.0,0
42,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,2.55,55,1059860,0.5,45,Oddish,75,65,30,grass,poison,5.4,0
43,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,1.2,70,1059860,0.8,60,Gloom,85,75,40,grass,poison,8.6,0
44,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,0.45,85,1059860,1.2,75,Vileplume,110,90,50,grass,poison,18.6,0
45,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,1.9,55,1000000,0.3,35,Paras,45,55,25,bug,grass,5.4,0
46,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,0.75,80,1000000,1.0,60,Parasect,60,80,30,bug,grass,29.5,0
47,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,1.9,50,1000000,1.0,60,Venonat,40,55,45,bug,poison,30.0,0
48,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,0.75,60,1000000,1.5,70,Venomoth,90,75,90,bug,poison,12.5,0
49,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,2.55,30,1000000,0.0,10,Diglett,35,45,90,ground,ground,0.0,0
50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,0.5,60,1000000,0.0,35,Dugtrio,50,70,110,ground,ground,0.0,0
51,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,2.55,35,1000000,0.0,40,Meowth,50,40,90,normal,dark,0.0,0
52,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,0.9,60,1000000,0.0,65,Persian,75,65,115,normal,dark,0.0,0
53,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,1.9,48,1000000,0.8,50,Psyduck,65,50,55,water,none,19.6,0
54,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,0.75,78,1000000,1.7,80,Golduck,95,80,85,water,none,76.6,0
55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,1.9,35,1000000,0.5,40,Mankey,35,45,70,fighting,none,28.0,0
56,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,0.75,60,1000000,1.0,65,Primeape,60,70,95,fighting,none,32.0,0
57,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,1.9,45,1250000,0.7,55,Growlithe,70,50,60,fire,none,19.0,0
58,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,0.75,80,1250000,1.9,90,Arcanine,100,80,95,fire,none,155.0,0
59,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,2.55,40,1059860,0.6,40,Poliwag,40,40,90,water,none,12.4,0
60,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,1.2,65,1059860,1.0,65,Poliwhirl,50,50,90,water,none,20.0,0
61,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,0.45,95,1059860,1.3,90,Poliwrath,70,90,70,water,fighting,54.0,0
62,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,2.0,15,1059860,0.9,25,Abra,105,55,90,psychic,none,19.5,0
63,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,1.0,30,1059860,1.3,40,Kadabra,120,70,105,psychic,none,56.5,0
64,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,0.5,65,1059860,1.5,55,Alakazam,175,105,150,psychic,none,48.0,0
65,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,1.8,50,1059860,0.8,70,Machop,35,35,35,fighting,none,19.5,0
66,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,0.9,70,1059860,1.5,80,Machoke,50,60,45,fighting,none,70.5,0
67,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,0.45,80,1059860,1.6,90,Machamp,65,85,55,fighting,none,130.0,0
68,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,2.55,35,1059860,0.7,50,Bellsprout,70,30,40,grass,poison,4.0,0
